x,N_hombre,N_mujer,D_hombre,D_mujer
0,14.024,13.487,238,183
1,44.956,43.606,28,28
5,62.673,60.657,20,13
10,59.970,58.664,26,23
15,59.831,59.341,62,45
20,50.406,54.375,64,20
25,43.235,50.485,79,30
30,41.672,48.940,75,26
35,39.297,45.263,94,40
40,33.139,37.891,125,73
45,27.512,31.310,115,86
50,23.079,26.283,151,116
55,17.210,18.961,174,122
60,13.597,14.933,187,167
65,10.353,11.644,188,196
70,8.197,9.300,216,220
75,6.108,6.901,283,299
80,4.056,4.685,292,291
85,2.493,2.984,290,266
90,880,1.117,152,173
95+,393,588,52,85
