r_K_hombre,r_K_mujer,r_D_hombre,r_D_mujer
-0.0165,-0.0168,-0.0538,-0.0473
-0.0026,-0.0005,-0.0197,-0.0499
-0.0049,-0.0044,-0.0357,-0.0773
0.0013,0.0005,-0.0956,-0.0427
0.0028,0.0006,-0.0102,-0.0341
0.0118,0.0051,0.0416,0.0854
0.0163,0.0065,0.0634,0.0788
0.0085,0.0044,0.0776,0.0947
0.0104,0.0125,0.0780,0.0754
0.0226,0.0234,0.0885,0.0700
0.0304,0.0320,0.1307,0.0893
0.0344,0.0375,0.1265,0.0885
0.0420,0.0463,0.1230,0.1115
0.0467,0.0508,0.1447,0.0881
0.0430,0.0438,0.1293,0.0885
0.0323,0.0348,0.1136,0.0774
0.0299,0.0280,0.0851,0.0500
0.0274,0.0289,0.0719,0.0662
0.0257,0.0318,0.0514,0.0605
0.0430,0.0512,0.0772,0.0797
0.0405,0.0355,0.1032,0.0866
